,accuracy,precision,recall,f1_score,auc_roc_score,cutoff
"Discrimination, Exclusion, Toxicity",0.599 ± 0.001,0.568 ± 0.001,0.83 ± 0.014,0.674 ± 0.004,0.614 ± 0.002,0.4 ± 0.011
Misinformation,0.609 ± 0.001,0.609 ± 0.006,0.607 ± 0.023,0.608 ± 0.01,0.638 ± 0.001,0.237 ± 0.015
HCI harms,0.556 ± 0.001,0.577 ± 0.006,0.426 ± 0.038,0.489 ± 0.021,0.573 ± 0.002,0.458 ± 0.024
Malicious Uses,0.607 ± 0.001,0.614 ± 0.005,0.575 ± 0.025,0.594 ± 0.011,0.64 ± 0.001,0.301 ± 0.014
